date,sqft,psf,price
Feb2026,516,1519,785000
Feb2026,818,1850,1513888
Feb2026,613,2078,1275000
Jan2026,775,1845,1430000
Jan2026,409,1992,815000
Jan2026,775,1865,1446000
Jan2026,861,1892,1630000
Jan2026,624,1761,1100000
Jan2026,904,1923,1739000
Dec2025,721,1885,1360000
Dec2025,409,1902,778000
Nov2025,775,1894,1468000
Nov2025,775,1948,1510000
Nov2025,818,1827,1495000
Oct2025,1151,1892,2180000
Oct2025,753,1672,1260000
Sep2025,818,1888,1545000
Sep2025,775,1999,1550000
Sep2025,947,1689,1600000
Aug2025,473,1853,878000
Jul2025,1173,1931,2266000
Jul2025,721,1781,1285000
Jul2025,409,1975,808000
Jul2025,742,1639,1218000
Jun2025,775,1832,1420000
Jun2025,775,1909,1480000
Jun2025,409,1845,755000
Jun2025,409,1894,775000
Jun2025,775,1690,1310000
Jun2025,1173,1917,2250000
Apr2025,721,1760,1270000
Mar2025,721,1844,1330000
Mar2025,409,2029,830000
Feb2025,818,1894,1550000
Feb2025,516,1790,925000
Feb2025,613,1988,1220000
Jan2025,957,1680,1610000
Jan2025,721,1747,1260000
Jan2025,667,1798,1200000
Jan2025,613,1874,1150000
Jan2025,1302,1865,2430000
Dec2024,904,1880,1700000
Dec2024,947,1815,1720000
Dec2024,721,1899,1370000
Dec2024,861,1602,1380000
Dec2024,667,1780,1188000
Nov2024,473,1858,880000
Nov2024,818,1748,1430000
Nov2024,721,1871,1350000
Nov2024,721,1871,1350000
Oct2024,613,1792,1100000
Oct2024,818,1540,1260000
Sep2024,516,1776,918000
Sep2024,775,1894,1468000
Sep2024,721,1760,1270000
Sep2024,1151,1979,2280000
Aug2024,818,1748,1430000
Aug2024,516,1844,953000
Aug2024,473,1794,850000
Aug2024,409,1980,810000
Jul2024,613,1760,1080000
Jun2024,775,1845,1430000
May2024,947,1847,1750000
May2024,667,1888,1260000
May2024,721,1802,1300000
Apr2024,613,1955,1200000
Apr2024,721,1942,1400888
Mar2024,818,1735,1420000
Mar2024,775,1812,1405000
Jan2024,818,1796,1470000
Jan2024,818,1711,1400000
Dec2023,818,1735,1420000
Dec2023,861,1741,1500000
Dec2023,721,1885,1360000
Nov2023,473,1847,875000
Nov2023,861,1739,1498000
Nov2023,861,1707,1470000
Nov2023,624,1890,1180000
Nov2023,979,1725,1690000
Oct2023,818,1693,1385000
Oct2023,505,1630,825000
Oct2023,667,1768,1180000
Sep2023,818,1748,1430000
Sep2023,667,1828,1220000
Sep2023,861,1715,1477000
Jul2023,516,1738,898000
May2023,818,1723,1410000
May2023,613,1719,1055000
May2023,409,1853,758000
Apr2023,1302,1627,2120000
Apr2023,775,1690,1310000
Mar2023,613,1678,1030000
Mar2023,721,1733,1250000
Feb2023,882,1518,1340000
Feb2023,775,1661,1288000
Jan2023,775,1612,1250000
Nov2022,1302,1810,2358000
Nov2022,861,1625,1400000
Nov2022,667,1738,1160000
Nov2022,882,1518,1340000
Oct2022,925,1499,1388000
Oct2022,775,1612,1250000
Oct2022,904,1559,1410000
Oct2022,775,1638,1270000
Sep2022,613,1638,1005000
Sep2022,473,1805,855000
Sep2022,861,1672,1440000
Sep2022,409,1760,720000
Sep2022,613,1597,980000
Sep2022,667,1723,1150000
Sep2022,613,1711,1050000
Aug2022,979,1541,1510000
Jul2022,947,1604,1520000
Jun2022,818,1570,1285000
Jun2022,721,1688,1218000
Jun2022,624,1753,1095000
Jun2022,516,1590,822000
May2022,409,1730,708000
May2022,1302,1727,2250000
Apr2022,1011,1502,1520000
Apr2022,721,1601,1155000
Apr2022,861,1556,1340000
Apr2022,613,1597,980000
Mar2022,775,1574,1220000
Mar2022,613,1646,1010000
Mar2022,1076,1370,1475000
Jan2022,721,1647,1188000
Jan2022,613,1597,980000
Jan2022,871,1468,1280000
Nov2021,667,1558,1040000
Nov2021,516,1587,820000
Nov2021,775,1535,1190000
Nov2021,516,1645,850000
Oct2021,473,1583,750000
Oct2021,904,1482,1340000
Sep2021,721,1594,1150000
Aug2021,473,1604,760000
Aug2021,516,1616,835000
Jul2021,409,1564,640000
Jul2021,667,1710,1141500
Jul2021,1173,1551,1820000
Jul2021,979,1510,1480000
Jun2021,839,1391,1168000
Jun2021,516,1548,800000
Jun2021,473,1511,716000
May2021,409,1589,650000
May2021,925,1598,1480000
Apr2021,473,1583,750000
Apr2021,473,1547,733000
Apr2021,775,1393,1080000
Mar2021,904,1542,1395000
Feb2021,721,1594,1150000
Feb2021,613,1556,955000
Dec2020,925,1512,1399999
Dec2020,516,1654,855000
Dec2020,861,1486,1280000
Nov2020,505,1344,680000
Sep2020,818,1466,1200000
Sep2020,925,1566,1450000
